Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-4420097,VEGFA-VEGFR2 Pathway,,-7.6,13,10,30244,99,207,9,4.3,1.4,857|1398|1500|2534|3728|4846|5747|10152|79109,CAV1|CRK|CTNND1|FYN|JUP|NOS3|PTK2|ABI2|MAPKAP1,-5.4,cluster_1_x_name
GO Biological Processes,19,GO:1903829,positive regulation of protein localization,19_GO:0051179 localization,-7.5,5.3,7.8,30244,470,207,17,8.2,1.9,1855|2534|2696|3728|4035|4088|5208|5581|5587|6833|6934|7040|8660|10979|23236|55107|89780,DVL1|FYN|GIPR|JUP|LRP1|SMAD3|PFKFB2|PRKCE|PRKD1|ABCC8|TCF7L2|TGFB1|IRS2|FERMT2|PLCB1|ANO1|WNT3A,-5.4,cluster_1_x_name
WikiPathways,27,WP4008,NO/cGMP/PKG mediated neuroprotection,,-7.5,22,12,30244,47,207,7,3.4,1.3,596|842|2904|4792|4846|4881|5970,BCL2|CASP9|GRIN2B|NFKBIA|NOS3|NPR1|RELA,-5.4,cluster_1_x_name
GO Biological Processes,19,GO:0010817,regulation of hormone levels,19_GO:0065007 biological regulation,-7.5,4.9,7.6,30244,533,207,18,8.7,2,358|406|1544|1584|2099|2696|2697|3767|5156|5208|5530|5581|6720|6833|6934|8660|23236|55107,AQP1|BMAL1|CYP1A2|CYP11B1|ESR1|GIPR|GJA1|KCNJ11|PDGFRA|PFKFB2|PPP3CA|PRKCE|SREBF1|ABCC8|TCF7L2|IRS2|PLCB1|ANO1,-5.4,cluster_1_x_name
GO Biological Processes,19,GO:0007517,muscle organ development,19_GO:0032502 developmental process,-7.5,6.6,8.2,30244,309,207,14,6.8,1.7,463|596|857|905|1106|1605|4205|4624|5530|6497|7040|7049|23411|89780,ZFHX3|BCL2|CAV1|CCNT2|CHD2|DAG1|MEF2A|MYH6|PPP3CA|SKI|TGFB1|TGFBR3|SIRT1|WNT3A,-5.4,cluster_1_x_name
GeDiPNet,37,GDP01389,Colorectal Neoplasms,,-7.5,5.2,7.7,30244,474,207,17,8.2,1.9,596|1544|4035|4088|4292|5581|5587|5728|6581|6833|6934|7040|7514|8289|8842|54822|57580,BCL2|CYP1A2|LRP1|SMAD3|MLH1|PRKCE|PRKD1|PTEN|SLC22A3|ABCC8|TCF7L2|TGFB1|XPO1|ARID1A|PROM1|TRPM7|PREX1,-5.4,cluster_1_x_name
GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-7.5,5.2,7.7,30244,474,207,17,8.2,1.9,596|658|1605|1785|1855|2534|3672|4205|4650|5530|5728|5747|6259|8633|23654|55107|89780,BCL2|BMPR1B|DAG1|DNM2|DVL1|FYN|ITGA1|MEF2A|MYO9B|PPP3CA|PTEN|PTK2|RYK|UNC5C|PLXNB2|ANO1|WNT3A,-5.4,cluster_1_x_name
KEGG Pathway,24,hsa05206,MicroRNAs in cancer,,-7.5,6.6,8.2,30244,310,207,14,6.8,1.7,595|596|898|1026|1398|5156|5581|5728|6541|7329|8503|8660|23411|89780,CCND1|BCL2|CCNE1|CDKN1A|CRK|PDGFRA|PRKCE|PTEN|SLC7A1|UBE2I|PIK3R3|IRS2|SIRT1|WNT3A,-5.4,cluster_1_x_name
GO Biological Processes,19,GO:0032989,cellular component morphogenesis,19_GO:0032502 developmental process,-7.5,4.6,7.5,30244,597,207,19,9.2,2,596|658|1605|1785|1855|2534|3672|4205|4624|4650|5156|5530|5728|5747|6259|8633|23654|55107|89780,BCL2|BMPR1B|DAG1|DNM2|DVL1|FYN|ITGA1|MEF2A|MYH6|MYO9B|PDGFRA|PPP3CA|PTEN|PTK2|RYK|UNC5C|PLXNB2|ANO1|WNT3A,-5.4,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-7.4,4.2,7.3,30244,730,207,21,10,2.1,595|596|1026|1398|1445|2309|2335|2534|3663|4088|4205|4507|4792|4988|5970|7040|7525|8503|8554|8660|8945,CCND1|BCL2|CDKN1A|CRK|CSK|FOXO3|FN1|FYN|IRF5|SMAD3|MEF2A|MTAP|NFKBIA|OPRM1|RELA|TGFB1|YES1|PIK3R3|PIAS1|IRS2|BTRC,-5.3,cluster_1_x_name
WikiPathways,27,WP399,Wnt signaling pathway and pluripotency,,-7.4,13,10,30244,102,207,9,4.3,1.4,595|1488|1500|1855|5529|5581|5587|6934|89780,CCND1|CTBP2|CTNND1|DVL1|PPP2R5E|PRKCE|PRKD1|TCF7L2|WNT3A,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-7.4,4.6,7.4,30244,600,207,19,9.2,2,164|596|857|1026|1445|2268|2309|2335|2534|2547|4292|4773|5530|6541|7040|7525|8289|8660|89780,AP1G1|BCL2|CAV1|CDKN1A|CSK|FGR|FOXO3|FN1|FYN|XRCC6|MLH1|NFATC2|PPP3CA|SLC7A1|TGFB1|YES1|ARID1A|IRS2|WNT3A,-5.3,cluster_1_x_name
WikiPathways,27,WP5124,Alzheimer's disease,,-7.4,7.2,8.4,30244,263,207,13,6.3,1.7,348|842|1855|2904|3643|4035|5530|5970|8503|8660|23236|50507|89780,APOE|CASP9|DVL1|GRIN2B|INSR|LRP1|PPP3CA|RELA|PIK3R3|IRS2|PLCB1|NOX4|WNT3A,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0061045,negative regulation of wound healing,19_GO:0048519 negative regulation of biological process,-7.4,16,11,30244,73,207,8,3.9,1.3,348|1398|4088|4846|5156|5728|6558|6833,APOE|CRK|SMAD3|NOS3|PDGFRA|PTEN|SLC12A2|ABCC8,-5.3,cluster_1_x_name
WikiPathways,27,WP4216,Chromosomal and microsatellite instability in colorectal cancer,,-7.4,16,11,30244,73,207,8,3.9,1.3,595|596|842|1026|4088|4292|6934|7040,CCND1|BCL2|CASP9|CDKN1A|SMAD3|MLH1|TCF7L2|TGFB1,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0048660,regulation of smooth muscle cell proliferation,19_GO:0050789 regulation of biological process,-7.4,9.1,9,30244,176,207,11,5.3,1.6,348|1026|2547|2697|4846|4881|4883|5728|6934|7040|10818,APOE|CDKN1A|XRCC6|GJA1|NOS3|NPR1|NPR3|PTEN|TCF7L2|TGFB1|FRS2,-5.3,cluster_1_x_name
GeDiPNet,37,GDP04907,Myocardial Ischemia,,-7.4,9.1,9,30244,176,207,11,5.3,1.6,154|406|595|1398|1843|4792|4846|5581|5868|6546|6934,ADRB2|BMAL1|CCND1|CRK|DUSP1|NFKBIA|NOS3|PRKCE|RAB5A|SLC8A1|TCF7L2,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0045936,negative regulation of phosphate metabolic process,19_GO:0048519 negative regulation of biological process,-7.4,5.5,7.8,30244,422,207,16,7.7,1.9,348|857|1026|1031|1445|1843|1855|4035|5728|6546|7040|8660|10614|23411|51422|80824,APOE|CAV1|CDKN1A|CDKN2C|CSK|DUSP1|DVL1|LRP1|PTEN|SLC8A1|TGFB1|IRS2|HEXIM1|SIRT1|PRKAG2|DUSP16,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0010563,negative regulation of phosphorus metabolic process,19_GO:0048519 negative regulation of biological process,-7.4,5.5,7.8,30244,423,207,16,7.7,1.9,348|857|1026|1031|1445|1843|1855|4035|5728|6546|7040|8660|10614|23411|51422|80824,APOE|CAV1|CDKN1A|CDKN2C|CSK|DUSP1|DVL1|LRP1|PTEN|SLC8A1|TGFB1|IRS2|HEXIM1|SIRT1|PRKAG2|DUSP16,-5.3,cluster_1_x_name
Canonical Pathways,11,M92,PID ANGIOPOIETIN RECEPTOR PATHWAY,,-7.4,21,12,30244,49,207,7,3.4,1.3,1026|1398|2335|2534|4846|5747|5970,CDKN1A|CRK|FN1|FYN|NOS3|PTK2|RELA,-5.3,cluster_1_x_name
WikiPathways,27,WP5300,TROP2 regulatory signaling,,-7.4,21,12,30244,49,207,7,3.4,1.3,595|596|898|2335|5728|5747|7094,CCND1|BCL2|CCNE1|FN1|PTEN|PTK2|TLN1,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0007589,body fluid secretion,19_GO:0051179 localization,-7.4,16,11,30244,74,207,8,3.9,1.3,358|595|857|4881|4883|5581|9612|55107,AQP1|CCND1|CAV1|NPR1|NPR3|PRKCE|NCOR2|ANO1,-5.3,cluster_1_x_name
GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-7.3,5.1,7.6,30244,483,207,17,8.2,1.9,154|596|857|1785|2534|2669|2904|3767|5530|5581|5587|5774|6546|6833|10060|23327|27347,ADRB2|BCL2|CAV1|DNM2|FYN|GEM|GRIN2B|KCNJ11|PPP3CA|PRKCE|PRKD1|PTPN3|SLC8A1|ABCC8|ABCC9|NEDD4L|STK39,-5.3,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-8939211,ESR-mediated signaling,,-7.3,7.9,8.6,30244,222,207,12,5.8,1.6,595|596|857|1655|2099|2309|4846|5241|5747|7514|8204|8503,CCND1|BCL2|CAV1|DDX5|ESR1|FOXO3|NOS3|PGR|PTK2|XPO1|NRIP1|PIK3R3,-5.2,cluster_1_x_name
GeDiPNet,37,GDP02058,Diabetic Nephropathy,,-7.3,15,10,30244,76,207,8,3.9,1.3,1026|1129|2335|3643|4846|5581|5970|7040,CDKN1A|CHRM2|FN1|INSR|NOS3|PRKCE|RELA|TGFB1,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0030336,negative regulation of cell migration,19_GO:0040011 locomotion,-7.3,5.8,7.8,30244,375,207,15,7.2,1.8,348|596|1605|1843|2309|2697|3728|4035|5217|5728|6237|6833|7040|23236|94241,APOE|BCL2|DAG1|DUSP1|FOXO3|GJA1|JUP|LRP1|PFN2|PTEN|RRAS|ABCC8|TGFB1|PLCB1|TP53INP1,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0006979,response to oxidative stress,19_GO:0050896 response to stimulus,-7.3,5.8,7.8,30244,375,207,15,7.2,1.8,348|358|406|596|1398|2309|2534|4846|5156|5587|5970|6546|23411|94241|135112,APOE|AQP1|BMAL1|BCL2|CRK|FOXO3|FYN|NOS3|PDGFRA|PRKD1|RELA|SLC8A1|SIRT1|TP53INP1|NCOA7,-5.2,cluster_1_x_name
KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,,-7.3,7.8,8.5,30244,225,207,12,5.8,1.6,595|842|1026|1398|4773|4792|5156|5530|5747|5970|8503|23236,CCND1|CASP9|CDKN1A|CRK|NFATC2|NFKBIA|PDGFRA|PPP3CA|PTK2|RELA|PIK3R3|PLCB1,-5.2,cluster_1_x_name
WikiPathways,27,WP363,Wnt signaling pathway,,-7.2,20,11,30244,51,207,7,3.4,1.3,595|1855|2697|4773|6259|6934|8395,CCND1|DVL1|GJA1|NFATC2|RYK|TCF7L2|PIP5K1B,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-7.2,5.1,7.5,30244,491,207,17,8.2,1.9,154|348|1129|1855|2534|2904|5217|5530|5581|5728|5868|6558|6857|23236|57282|89780|134957,ADRB2|APOE|CHRM2|DVL1|FYN|GRIN2B|PFN2|PPP3CA|PRKCE|PTEN|RAB5A|SLC12A2|SYT1|PLCB1|SLC4A10|WNT3A|STXBP5,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0071496,cellular response to external stimulus,19_GO:0050896 response to stimulus,-7.2,6.3,8,30244,323,207,14,6.8,1.7,358|490|596|1026|1605|2309|5287|5571|5587|6720|9213|23411|51422|79109,AQP1|ATP2B1|BCL2|CDKN1A|DAG1|FOXO3|PIK3C2B|PRKAG1|PRKD1|SREBF1|XPR1|SIRT1|PRKAG2|MAPKAP1,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-7.2,5,7.5,30244,492,207,17,8.2,1.9,154|348|1129|1855|2534|2904|5217|5530|5581|5728|5868|6558|6857|23236|57282|89780|134957,ADRB2|APOE|CHRM2|DVL1|FYN|GRIN2B|PFN2|PPP3CA|PRKCE|PTEN|RAB5A|SLC12A2|SYT1|PLCB1|SLC4A10|WNT3A|STXBP5,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0031669,cellular response to nutrient levels,19_GO:0050896 response to stimulus,-7.2,7.8,8.5,30244,226,207,12,5.8,1.6,490|596|1026|2309|5287|5571|5587|6720|9213|23411|51422|79109,ATP2B1|BCL2|CDKN1A|FOXO3|PIK3C2B|PRKAG1|PRKD1|SREBF1|XPR1|SIRT1|PRKAG2|MAPKAP1,-5.2,cluster_1_x_name
GeDiPNet,37,GDP04202,Lung Cancer,,-7.2,6.3,8,30244,324,207,14,6.8,1.7,59|348|595|857|1026|1544|2099|2260|2697|5728|7040|8572|9635|10266,ACTA2|APOE|CCND1|CAV1|CDKN1A|CYP1A2|ESR1|FGFR1|GJA1|PTEN|TGFB1|PDLIM4|CLCA2|RAMP2,-5.2,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-194138,Signaling by VEGF,,-7.2,12,9.7,30244,108,207,9,4.3,1.4,857|1398|1500|2534|3728|4846|5747|10152|79109,CAV1|CRK|CTNND1|FYN|JUP|NOS3|PTK2|ABI2|MAPKAP1,-5.2,cluster_1_x_name
GO Biological Processes,19,GO:0032990,cell part morphogenesis,19_GO:0032502 developmental process,-7.2,5,7.5,30244,494,207,17,8.2,1.9,596|658|1605|1785|1855|2534|3672|4205|4650|5530|5728|5747|6259|8633|23654|55107|89780,BCL2|BMPR1B|DAG1|DNM2|DVL1|FYN|ITGA1|MEF2A|MYO9B|PPP3CA|PTEN|PTK2|RYK|UNC5C|PLXNB2|ANO1|WNT3A,-5.2,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,,-7.2,15,10,30244,78,207,8,3.9,1.3,2099|2260|2534|5156|8503|8660|10818|152831,ESR1|FGFR1|FYN|PDGFRA|PIK3R3|IRS2|FRS2|KLB,-5.1,cluster_1_x_name
GO Biological Processes,19,GO:0022602,ovulation cycle process,19_GO:0048511 rhythmic process,-7.2,20,11,30244,52,207,7,3.4,1.3,658|2099|4846|5156|5241|8204|23411,BMPR1B|ESR1|NOS3|PDGFRA|PGR|NRIP1|SIRT1,-5.1,cluster_1_x_name
WikiPathways,27,WP4673,Male infertility,,-7.2,10,9.1,30244,145,207,10,4.8,1.5,406|596|905|1106|2099|2346|3159|3643|4292|4846,BMAL1|BCL2|CCNT2|CHD2|ESR1|FOLH1|HMGA1|INSR|MLH1|NOS3,-5.1,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-8941855,RUNX3 regulates CDKN1A transcription,,-7.1,83,18,30244,7,207,4,1.9,0.96,463|1026|4088|7040,ZFHX3|CDKN1A|SMAD3|TGFB1,-5.1,cluster_1_x_name
GO Biological Processes,19,GO:1903050,regulation of proteolysis involved in protein catabolic process,19_GO:0008152 metabolic process,-7.1,7.6,8.3,30244,231,207,12,5.8,1.6,348|857|1855|5728|5747|6201|7514|8554|8945|23376|84871|114881,APOE|CAV1|DVL1|PTEN|PTK2|RPS7|XPO1|PIAS1|BTRC|UFL1|AGBL4|OSBPL7,-5.1,cluster_1_x_name
KEGG Pathway,24,hsa05224,Breast cancer,,-7.1,9.9,9,30244,147,207,10,4.8,1.5,595|1026|1855|2099|2260|5241|5728|6934|8503|89780,CCND1|CDKN1A|DVL1|ESR1|FGFR1|PGR|PTEN|TCF7L2|PIK3R3|WNT3A,-5.1,cluster_1_x_name
GO Biological Processes,19,GO:0062197,cellular response to chemical stress,19_GO:0050896 response to stimulus,-7.1,6.8,8.1,30244,280,207,13,6.3,1.7,358|406|596|857|2309|2534|4846|5156|5587|5970|23411|27347|94241,AQP1|BMAL1|BCL2|CAV1|FOXO3|FYN|NOS3|PDGFRA|PRKD1|RELA|SIRT1|STK39|TP53INP1,-5.1,cluster_1_x_name
GO Biological Processes,19,GO:0051896,regulation of protein kinase B signaling,19_GO:0050896 response to stimulus,-7.1,8.5,8.6,30244,188,207,11,5.3,1.6,1605|2260|3643|5728|5747|6237|6934|7040|10979|23411|50507,DAG1|FGFR1|INSR|PTEN|PTK2|RRAS|TCF7L2|TGFB1|FERMT2|SIRT1|NOX4,-5.1,cluster_1_x_name
GO Biological Processes,19,GO:0048738,cardiac muscle tissue development,19_GO:0032502 developmental process,-7.1,8.5,8.6,30244,188,207,11,5.3,1.6,2697|4205|4624|5156|6497|6546|7040|7049|50507|89780|150094,GJA1|MEF2A|MYH6|PDGFRA|SKI|SLC8A1|TGFB1|TGFBR3|NOX4|WNT3A|SIK1,-5.1,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9824446,Viral Infection Pathways,,-7.1,4,7,30244,767,207,21,10,2.1,164|857|905|1655|2534|2547|2697|3159|4088|4792|5970|6201|7040|7329|7514|8178|8945|9612|11267|23327|55107,AP1G1|CAV1|CCNT2|DDX5|FYN|XRCC6|GJA1|HMGA1|SMAD3|NFKBIA|RELA|RPS7|TGFB1|UBE2I|XPO1|ELL|BTRC|NCOR2|SNF8|NEDD4L|ANO1,-5,cluster_1_x_name
GO Biological Processes,19,GO:0001933,negative regulation of protein phosphorylation,19_GO:0048519 negative regulation of biological process,-7.1,6.1,7.8,30244,334,207,14,6.8,1.7,348|857|1026|1031|1843|1855|4035|5728|6546|7040|10614|23411|51422|80824,APOE|CAV1|CDKN1A|CDKN2C|DUSP1|DVL1|LRP1|PTEN|SLC8A1|TGFB1|HEXIM1|SIRT1|PRKAG2|DUSP16,-5,cluster_1_x_name
GO Biological Processes,19,GO:0030308,negative regulation of cell growth,19_GO:0040007 growth,-7,8.4,8.5,30244,191,207,11,5.3,1.6,596|1026|1031|2697|4088|4881|6259|7040|23411|85004|89780,BCL2|CDKN1A|CDKN2C|GJA1|SMAD3|NPR1|RYK|TGFB1|SIRT1|RERG|WNT3A,-5,cluster_1_x_name
GO Biological Processes,19,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,19_GO:0050896 response to stimulus,-7,12,9.4,30244,114,207,9,4.3,1.4,2260|2268|2335|3643|5156|5728|5747|8395|23411,FGFR1|FGR|FN1|INSR|PDGFRA|PTEN|PTK2|PIP5K1B|SIRT1,-5,cluster_1_x_name
GO Biological Processes,19,GO:0032024,positive regulation of insulin secretion,19_GO:0051179 localization,-7,14,9.9,30244,83,207,8,3.9,1.3,2696|5208|5581|6833|6934|8660|23236|55107,GIPR|PFKFB2|PRKCE|ABCC8|TCF7L2|IRS2|PLCB1|ANO1,-4.9,cluster_1_x_name
GO Biological Processes,19,GO:0014706,striated muscle tissue development,19_GO:0032502 developmental process,-7,8.3,8.4,30244,194,207,11,5.3,1.6,2697|4205|4624|5156|6497|6546|7040|7049|50507|89780|150094,GJA1|MEF2A|MYH6|PDGFRA|SKI|SLC8A1|TGFB1|TGFBR3|NOX4|WNT3A|SIK1,-4.9,cluster_1_x_name
WikiPathways,27,WP4806,EGFR tyrosine kinase inhibitor resistance,,-6.9,14,9.8,30244,84,207,8,3.9,1.3,595|596|2309|5156|5728|6237|8503|22808,CCND1|BCL2|FOXO3|PDGFRA|PTEN|RRAS|PIK3R3|MRAS,-4.9,cluster_1_x_name
Canonical Pathways,11,M195,PID CMYB PATHWAY,,-6.9,14,9.8,30244,84,207,8,3.9,1.3,463|490|595|596|1026|5530|6497|7329,ZFHX3|ATP2B1|CCND1|BCL2|CDKN1A|PPP3CA|SKI|UBE2I,-4.9,cluster_1_x_name
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-6.9,4.8,7.2,30244,518,207,17,8.2,1.9,595|596|1026|1031|1843|3643|5586|5728|5774|8289|10783|23236|23331|23411|54617|59343|150094,CCND1|BCL2|CDKN1A|CDKN2C|DUSP1|INSR|PKN2|PTEN|PTPN3|ARID1A|NEK6|PLCB1|TTC28|SIRT1|INO80|SENP2|SIK1,-4.9,cluster_1_x_name
GO Biological Processes,19,GO:0022898,regulation of transmembrane transporter activity,19_GO:0051179 localization,-6.9,6.5,7.9,30244,291,207,13,6.3,1.7,154|596|857|1785|2669|4988|5530|5581|5774|6833|10060|23327|27347,ADRB2|BCL2|CAV1|DNM2|GEM|OPRM1|PPP3CA|PRKCE|PTPN3|ABCC8|ABCC9|NEDD4L|STK39,-4.9,cluster_1_x_name
WikiPathways,27,WP4262,Breast cancer pathway,,-6.9,9.4,8.7,30244,155,207,10,4.8,1.5,595|1026|1855|2099|2260|5241|5728|6934|8503|89780,CCND1|CDKN1A|DVL1|ESR1|FGFR1|PGR|PTEN|TCF7L2|PIK3R3|WNT3A,-4.9,cluster_1_x_name
GO Biological Processes,19,GO:0030100,regulation of endocytosis,19_GO:0051179 localization,-6.9,6.5,7.8,30244,292,207,13,6.3,1.7,348|857|1445|1785|2268|3643|4035|5530|5587|23327|29763|84251|89780,APOE|CAV1|CSK|DNM2|FGR|INSR|LRP1|PPP3CA|PRKD1|NEDD4L|PACSIN3|SGIP1|WNT3A,-4.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,,-6.9,14,9.7,30244,86,207,8,3.9,1.3,1398|2268|2534|4650|5581|5747|7525|10152,CRK|FGR|FYN|MYO9B|PRKCE|PTK2|YES1|ABI2,-4.8,cluster_1_x_name
WikiPathways,27,WP4298,Acute viral myocarditis,,-6.9,14,9.7,30244,86,207,8,3.9,1.3,595|596|842|857|1605|2534|4624|7040,CCND1|BCL2|CASP9|CAV1|DAG1|FYN|MYH6|TGFB1,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-6.8,4,6.9,30244,722,207,20,9.7,2.1,857|898|1152|1445|1855|2697|3728|4650|5217|5529|5586|5747|7514|8503|9644|10152|10818|10979|22906|57580,CAV1|CCNE1|CKB|CSK|DVL1|GJA1|JUP|MYO9B|PFN2|PPP2R5E|PKN2|PTK2|XPO1|PIK3R3|SH3PXD2A|ABI2|FRS2|FERMT2|TRAK1|PREX1,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:0010632,regulation of epithelial cell migration,19_GO:0040011 locomotion,-6.8,6.4,7.8,30244,295,207,13,6.3,1.7,348|2260|3728|4846|5217|5581|5587|5728|5747|6237|7040|8660|23411,APOE|FGFR1|JUP|NOS3|PFN2|PRKCE|PRKD1|PTEN|PTK2|RRAS|TGFB1|IRS2|SIRT1,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:0051090,regulation of DNA-binding transcription factor activity,19_GO:0008152 metabolic process,-6.8,5,7.3,30244,464,207,16,7.7,1.9,857|2099|3728|4088|4792|5530|5587|5728|5970|6934|8945|23376|23411|28232|89780|150094,CAV1|ESR1|JUP|SMAD3|NFKBIA|PPP3CA|PRKD1|PTEN|RELA|TCF7L2|BTRC|UFL1|SIRT1|SLCO3A1|WNT3A|SIK1,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:2001236,regulation of extrinsic apoptotic signaling pathway,19_GO:0050896 response to stimulus,-6.8,9.2,8.6,30244,158,207,10,4.8,1.5,596|658|857|2260|4846|5728|5970|6934|51530|117584,BCL2|BMPR1B|CAV1|FGFR1|NOS3|PTEN|RELA|TCF7L2|ZC3HC1|RFFL,-4.8,cluster_1_x_name
KEGG Pathway,24,hsa05131,Shigellosis,,-6.8,7.1,8,30244,247,207,12,5.8,1.6,596|1398|2309|4792|5217|5581|5747|5970|7094|8503|8945|23236,BCL2|CRK|FOXO3|NFKBIA|PFN2|PRKCE|PTK2|RELA|TLN1|PIK3R3|BTRC|PLCB1,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:0048145,regulation of fibroblast proliferation,19_GO:0050789 regulation of biological process,-6.8,13,9.6,30244,87,207,8,3.9,1.3,358|857|1026|2099|2335|5156|6497|94241,AQP1|CAV1|CDKN1A|ESR1|FN1|PDGFRA|SKI|TP53INP1,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9664417,Leishmania phagocytosis,,-6.8,17,10,30244,59,207,7,3.4,1.3,1398|2268|2534|4650|5747|7525|10152,CRK|FGR|FYN|MYO9B|PTK2|YES1|ABI2,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9664407,Parasite infection,,-6.8,17,10,30244,59,207,7,3.4,1.3,1398|2268|2534|4650|5747|7525|10152,CRK|FGR|FYN|MYO9B|PTK2|YES1|ABI2,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9664422,FCGR3A-mediated phagocytosis,,-6.8,17,10,30244,59,207,7,3.4,1.3,1398|2268|2534|4650|5747|7525|10152,CRK|FGR|FYN|MYO9B|PTK2|YES1|ABI2,-4.8,cluster_1_x_name
Canonical Pathways,11,M281,PID FAK PATHWAY,,-6.8,17,10,30244,59,207,7,3.4,1.3,595|1398|2534|5747|6237|7094|7525,CCND1|CRK|FYN|PTK2|RRAS|TLN1|YES1,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-425407,SLC-mediated transmembrane transport,,-6.8,7.1,8,30244,248,207,12,5.8,1.6,6523|6541|6542|6546|6558|6581|8170|10864|28232|57282|57419|64116,SLC5A1|SLC7A1|SLC7A2|SLC8A1|SLC12A2|SLC22A3|SLC14A2|SLC22A7|SLCO3A1|SLC4A10|SLC24A3|SLC39A8,-4.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-9006936,Signaling by TGFB family members,,-6.8,11,9,30244,122,207,9,4.3,1.4,658|905|4053|4088|6497|7040|7514|9612|23327,BMPR1B|CCNT2|LTBP2|SMAD3|SKI|TGFB1|XPO1|NCOR2|NEDD4L,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-6.8,5,7.2,30244,469,207,16,7.7,1.9,596|658|1605|1785|1855|2534|3672|4205|4650|5530|5728|5747|6259|8633|23654|89780,BCL2|BMPR1B|DAG1|DNM2|DVL1|FYN|ITGA1|MEF2A|MYO9B|PPP3CA|PTEN|PTK2|RYK|UNC5C|PLXNB2|WNT3A,-4.8,cluster_1_x_name
GeDiPNet,37,GDP02751,Gastric Cancer,,-6.7,5.3,7.3,30244,411,207,15,7.2,1.8,154|595|658|857|1026|1152|2260|2534|3643|4292|4846|5728|8289|8660|54822,ADRB2|CCND1|BMPR1B|CAV1|CDKN1A|CKB|FGFR1|FYN|INSR|MLH1|NOS3|PTEN|ARID1A|IRS2|TRPM7,-4.8,cluster_1_x_name
GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-6.7,4.4,7,30244,597,207,18,8.7,2,358|596|1398|2697|4205|4624|4643|4650|5156|5217|7094|8572|10060|10152|22808|23327|54822|57580,AQP1|BCL2|CRK|GJA1|MEF2A|MYH6|MYO1E|MYO9B|PDGFRA|PFN2|TLN1|PDLIM4|ABCC9|ABI2|MRAS|NEDD4L|TRPM7|PREX1,-4.8,cluster_1_x_name
KEGG Pathway,24,hsa04211,Longevity regulating pathway,,-6.7,13,9.5,30244,89,207,8,3.9,1.3,2309|3643|5571|5970|8503|8660|23411|51422,FOXO3|INSR|PRKAG1|RELA|PIK3R3|IRS2|SIRT1|PRKAG2,-4.7,cluster_1_x_name
